bts_id,siec,standard,lokalizacja
0,Konkurent_2,  LTE  IOT,Nowy Wiśnicz  
1,Konkurent_2,GSM  LTE  ,Piaski   
2,Orange,GSM    ,Katowice   
3,Konkurent_2,  LTE  ,Sępopol   
4,Konkurent_3,  LTE  ,Debrzno   
5,Konkurent_1, UMTS   IOT,Olecko   
6,Orange,GSM UMTS  5G ,Szklarska Poręba  
7,Konkurent_2,GSM    ,Nakło nad Notecią 
8,Konkurent_2, UMTS   ,Łobez   
9,Orange,GSM UMTS LTE  ,Mrągowo   
10,Orange,GSM    ,Biecz   
11,Orange, UMTS LTE  ,Leśnica   
12,Orange, UMTS   ,Ozorków   
13,Konkurent_2, UMTS   ,Margonin   
14,Orange,  LTE  ,Grójec   
15,Konkurent_3,  LTE  ,Lipno   
16,Konkurent_2, UMTS   ,Chełmża   
17,Konkurent_2,GSM    ,Wieruszów   
18,Orange,  LTE  ,Kłecko   
19,Konkurent_1, UMTS   ,Ustroń   
20,Konkurent_2, UMTS LTE  ,Stargard   
21,Orange, UMTS LTE 5G ,Szklarska Poręba  
22,Orange,GSM UMTS   ,Mordy   
23,Konkurent_2, UMTS  5G IOT,Zabłudów   
24,Konkurent_2, UMTS   ,Górzno   
25,Orange, UMTS   ,Zgorzelec   
26,Konkurent_3,    IOT,Tychowo   
27,Konkurent_1,  LTE  ,Nowa Dęba  
28,Konkurent_1, UMTS   ,Działoszyce   
29,Orange,GSM  LTE  ,Brańsk   
30,Konkurent_3,GSM UMTS   ,Krasnystaw   
31,Orange,GSM   5G ,Rawicz   
32,Konkurent_3,  LTE  ,Czarnków   
33,Konkurent_3,  LTE  IOT,Susz   
34,Orange,GSM    ,Wolbrom   
35,Konkurent_1, UMTS LTE 5G ,Polkowice   
36,Konkurent_3,  LTE  ,Wągrowiec   
37,Konkurent_1,  LTE  ,Skierniewice   
38,Orange,GSM  LTE  ,Chełmża   
39,Konkurent_2,  LTE  ,Kowalewo Pomorskie  
40,Konkurent_3,GSM UMTS LTE 5G ,Grójec   
41,Konkurent_3,  LTE  ,Korsze   
42,Konkurent_3,  LTE  IOT,Kępice   
43,Konkurent_3,   5G IOT,Sokółka   
44,Konkurent_1,GSM    ,Bolesławiec   
45,Orange,GSM    ,Kamieńsk   
46,Orange,GSM UMTS   ,Książ Wielkopolski  
47,Orange,GSM UMTS LTE  ,Mrągowo   
48,Konkurent_3, UMTS   ,Bodzentyn   
49,Orange,GSM  LTE  ,Olszyna   
50,Konkurent_3,  LTE 5G ,Wąbrzeźno   
51,Konkurent_1, UMTS LTE  ,Zielonka   
52,Konkurent_2, UMTS   ,Nowa Ruda  
53,Orange,  LTE  ,Olsztyn   
54,Konkurent_2,  LTE 5G ,Rejowiec Fabryczny  
55,Konkurent_3,GSM UMTS   ,Głogów Małopolski  
56,Orange, UMTS  5G ,Jordanów   
57,Orange, UMTS   ,Drzewica   
58,Konkurent_2,  LTE  ,Bytom Odrzański  
59,Konkurent_2, UMTS LTE 5G IOT,Modliborzyce   
60,Konkurent_2,GSM    ,Jasień   
61,Konkurent_2, UMTS LTE  ,Lewin Brzeski  
62,Orange,GSM UMTS  5G ,Sochaczew   
63,Orange,GSM UMTS   ,Świdnik   
64,Konkurent_3,  LTE  ,Lublin   
65,Konkurent_2,   5G ,Pyrzyce   
66,Konkurent_3,GSM  LTE  ,Rajgród   
67,Konkurent_2,GSM  LTE  ,Lwówek Śląski  
68,Konkurent_2,GSM UMTS LTE  ,Rejowiec Fabryczny  
69,Orange,GSM    ,Gąbin   
70,Orange, UMTS   ,Czarna Białostocka  
71,Konkurent_3,  LTE  IOT,Kalety   
72,Konkurent_2,GSM  LTE 5G ,Oleszyce   
73,Konkurent_2,GSM    ,Garwolin   
74,Orange,  LTE  ,Wałcz   
75,Konkurent_3,   5G ,Janowiec Wielkopolski  
76,Konkurent_2, UMTS   ,Grodzisk Wielkopolski  
77,Konkurent_3,GSM UMTS   ,Murowana Goślina  
78,Orange,GSM    ,Wronki   
79,Orange,GSM    ,Działdowo   
80,Orange,  LTE  ,Zielona Góra  
81,Orange,  LTE  ,Gniewkowo   
82,Orange,GSM    ,Głuszyca   
83,Konkurent_2,GSM  LTE 5G ,Tyszowce   
84,Orange,  LTE 5G ,Łomianki   
85,Orange,GSM    ,Strumień   
86,Konkurent_3,  LTE  ,Wielichowo   
87,Orange,  LTE  ,Skała   
88,Konkurent_3, UMTS LTE  ,Radzionków   
89,Konkurent_2, UMTS LTE 5G IOT,Gostyń   
90,Orange,  LTE  ,Wrocław   
91,Konkurent_2,GSM UMTS LTE 5G ,Poznań   
92,Konkurent_3, UMTS LTE  ,Oborniki Śląskie  
93,Konkurent_3,GSM    ,Bolesławiec   
94,Konkurent_3, UMTS   ,Rumia   
95,Orange,  LTE  ,Gorzów Wielkopolski  
96,Konkurent_1,GSM UMTS   ,Łowicz   
97,Konkurent_1,  LTE  ,Luboń   
98,Orange,   5G ,Jawor   
99,Konkurent_2,  LTE  ,Ustroń   
100,Orange,GSM UMTS   ,Dziwnów   
101,Konkurent_3,GSM   5G ,Maszewo   
102,Orange,GSM UMTS LTE  ,Kędzierzyn-Koźle   
103,Konkurent_3,GSM  LTE  ,Słomniki   
104,Orange,GSM UMTS LTE  ,Puszczykowo   
105,Orange,  LTE  ,Dęblin   
106,Konkurent_2,GSM UMTS LTE  ,Sianów   
107,Konkurent_2, UMTS LTE  ,Biała   
108,Konkurent_3,GSM   5G ,Ośno Lubuskie  
109,Konkurent_1,GSM UMTS   ,Tarnów   
110,Konkurent_2, UMTS   IOT,Pionki   
111,Konkurent_3,   5G ,Drawsko Pomorskie  
112,Konkurent_2,   5G ,Lubsko   
113,Konkurent_3,GSM UMTS LTE  ,Nowe Skalmierzyce  
114,Konkurent_2,GSM  LTE  ,Sępopol   
115,Konkurent_2,  LTE  ,Nowa Sarzyna  
116,Konkurent_2,  LTE  IOT,Zwoleń   
117,Konkurent_2, UMTS  5G ,Kętrzyn   
118,Konkurent_3, UMTS   ,Sosnowiec   
119,Konkurent_2,GSM    ,Olesno   
120,Konkurent_2, UMTS   ,Błonie   
121,Orange,GSM  LTE  ,Zielona Góra  
122,Konkurent_1,  LTE  ,Krotoszyn   
123,Konkurent_3,GSM    ,Pajęczno   
124,Konkurent_2,GSM   5G IOT,Pasym   
125,Konkurent_2, UMTS LTE  ,Kisielice   
126,Konkurent_1,   5G IOT,Krosno Odrzańskie  
127,Orange, UMTS   ,Turek   
128,Konkurent_3,   5G IOT,Świerzawa   
129,Konkurent_2, UMTS  5G IOT,Borne Sulinowo  
130,Orange,  LTE  ,Łask   
131,Konkurent_2,GSM    ,Bierutów   
132,Konkurent_1, UMTS LTE  ,Chęciny   
133,Konkurent_3,   5G IOT,Węgliniec   
134,Orange, UMTS   ,Trzcianka   
135,Orange,GSM  LTE  ,Boguchwała   
136,Konkurent_2,    IOT,Wiązów   
137,Orange,GSM UMTS   ,Pieńsk   
138,Konkurent_1,GSM UMTS   IOT,Wisła   
139,Orange,  LTE  IOT,Podkowa Leśna  
140,Orange,GSM  LTE 5G ,Mińsk Mazowiecki  
141,Orange,GSM   5G IOT,Korfantów   
142,Konkurent_2,GSM UMTS   ,Pieszyce   
143,Konkurent_1, UMTS LTE 5G ,Góra   
144,Konkurent_1,GSM UMTS LTE  ,Złocieniec   
145,Konkurent_2,  LTE  ,Czerniejewo   
146,Konkurent_3,  LTE  ,Skierniewice   
147,Konkurent_2,  LTE  ,Resko   
148,Konkurent_2, UMTS LTE  ,Działoszyce   
149,Konkurent_1,GSM UMTS   ,Koniecpol   
150,Konkurent_2, UMTS   ,Libiąż   
151,Orange,GSM  LTE 5G ,Leszno   
152,Orange,GSM UMTS LTE  ,Warta   
153,Konkurent_2, UMTS   ,Mogilno   
154,Konkurent_1,GSM  LTE  ,Ińsko   
155,Konkurent_3,   5G ,Żabno   
156,Konkurent_2,   5G ,Kluczbork   
157,Konkurent_3,   5G ,Osieczna   
158,Orange,GSM UMTS LTE 5G ,Brodnica   
159,Orange,GSM   5G ,Wyszków   
160,Konkurent_1, UMTS   ,Ozimek   
161,Orange,GSM   5G ,Polanica-Zdrój   
162,Konkurent_2,GSM  LTE  IOT,Lubraniec   
163,Konkurent_3, UMTS LTE  ,Kartuzy   
164,Konkurent_3,   5G ,Maków Mazowiecki  
165,Konkurent_3,GSM  LTE  ,Pogorzela   
166,Konkurent_2,GSM    ,Częstochowa   
167,Konkurent_1,GSM  LTE  IOT,Piaseczno   
