ID;Nazwa;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna
1;RYBNIK-STODO£Y;50 09 16;18 28 59
2;DZIWN”W;54 01 20;14 43 54
3;ZIELENIEC;50 19 48;16 23 39
4;MI DZYG”RZE;50 13 06;16 46 23
5;MI DZYLESIE;50 09 12;16 40 15
6;DOBROGOSZCZ;50 45 31;17 01 02
7;OTMUCH”W;50 28 20;17 09 59
8;DZIEWI TLICE;50 24 41;17 05 03
9;G£UCHO£AZY;50 18 08;17 23 14
10;JARNO£T”WEK;50 17 17;17 26 17
11;G£UBCZYCE;50 10 55;17 47 41
12;KRUPSKI M£YN;50 34 09;18 37 24
13;åWIERKLANIEC;50 25 44;18 56 33
14;JANUSZEWICE;50 56 31;19 57 40
15;SILNICZKA;50 55 19;19 45 32
16;TEOFIL”W;51 31 41;20 10 58
17;ELBL•G-MILEJEWO;54 13 24;19 32 37
18;WARSZOWICE;49 59 31;18 42 20
19;MAZA—COWICE;49 51 45;18 58 10
20;W£OCH”W;51 05 56;20 36 44
21;SUCHEDNI”W;51 02 59;20 49 50
22;ØARKI;50 38 24;19 22 49
23;STARACHOWICE;51 02 30;21 03 21
24;BRODY I£ØECKIE;51 01 07;21 11 49
25;RADZY— PODLASKI;51 46 09;22 36 03
26;RYCZYW”£;52 48 57;16 50 20
27;JANOWIEC WIELKOPOLSKI;52 45 17;17 27 44
28;TUREK;52 00 37;18 29 54
29;ØYCHLIN;52 14 34;19 37 23
30;BORKOWO;52 33 43;20 39 37
31;PU£TUSK;52 43 39;21 05 25
32;BRA—SK;52 44 31;22 49 35
33;TONKIELE;52 24 43;22 33 56
34;NOWOSADY;52 58 21;23 52 44
35;BONDARY;52 56 15;23 45 16
36;NAREW;52 54 53;23 31 09
37;CHRABO£Y;52 51 44;23 11 44
38;BIA£OWIEØA;52 42 26;23 50 52
39;WOLIN;53 50 15;14 36 57
40;£AB DZIE;53 39 02;15 48 33
41;LISOWO;53 25 51;15 18 05
42;ROZTOKA;49 38 25;20 23 00
43;PTASZKOWA;49 36 01;20 53 12
44;£•CKO;49 33 35;20 26 22
45;TURBACZ;49 32 41;20 07 05
46;£ABOWA;49 31 34;20 51 31
47;OCHOTNICA G”RNA;49 30 37;20 14 41
48;£OPUSZNA;49 28 27;20 07 25
49;STUDZIONKI;49 29 43;20 12 43
50;D BNO;49 27 57;20 12 34
51;HUTA;49 27 54;20 57 24
52;MIZERNA;49 27 19;20 16 55
53;KROåCIENKO;49 26 44;20 25 54
54;NIEDZICA;49 25 04;20 18 57
55;BIA£KA TATRZA—SKA;49 24 44;20 06 26
56;BUKOWINA TATRZA—SKA;49 20 15;20 05 54
57;MUSZYNA;49 20 59;20 53 11
58;£YSA POLANA;49 15 49;20 06 54
59;HALA G•SIENICOWA;49 14 38;20 00 21
60;DOLINA PI CIU STAW”W;49 12 49;20 02 52
61;PILZNO;49 59 14;21 18 30
62;ØARNOWA;49 52 40;21 48 59
63;BIECZ-GRUDNA;49 44 07;21 17 44
64;JAS£O;49 44 08;21 29 06
65;GORLICE;49 39 19;21 10 16
66;CIESZYN;49 45 15;18 38 54
67;BRENNA;49 45 13;18 52 15
68;SZCZYRK;49 42 11;18 59 41
69;CZANTORIA;49 41 00;18 49 11
70;WIS£A;49 39 17;18 51 41
71;WIS£A-MALINKA;49 38 41;18 58 03
72;ISTEBNA-KUBALONKA;49 36 13;18 54 04
73;ISTEBNA-STEC”WKA;49 35 07;18 56 25
74;LIBERT”W;49 58 21;19 53 42
75;RADZISZ”W;49 56 33;19 48 46
76;SIEPRAW;49 54 17;19 57 53
77;INWA£D;49 52 02;19 23 19
78;MI DZYBRODZIE BIALSKIE;49 47 22;19 11 46
79;LESKOWIEC;49 47 44;19 26 48
80;BOGDAN”WKA;49 45 34;19 47 17
81;MAK”W PODHALA—SKI;49 43 33;19 41 17
82;åLEMIE—;49 43 03;19 21 11
83;LACHOWICE KRALE;49 41 18;19 25 04
84;KRZECZ”W;49 41 01;19 54 36
85;KOSZARAWA;49 39 21;19 24 16
86;ZAWOJA;49 36 42;19 31 07
87;MARKOWE SZCZAWINY;49 35 15;19 30 59
88;MIL”WKA;49 33 33;19 04 46
89;SOPOTNIA WIELKA;49 34 54;19 17 58
90;KORBIEL”W;49 34 07;19 20 54
91;LALIKI;49 32 41;19 00 58
92;OBIDOWA;49 32 39;19 58 07
93;RAJCZA;49 30 22;19 06 19
94;RYCERKA G”RNA;49 25 35;19 00 30
95;RATU£”W;49 23 30;19 53 01
96;BA—SKA WYØNA;49 23 03;19 58 24
97;WIT”W;49 19 39;19 49 30
98;NOWE BYSTRE;49 19 56;19 55 45
99;KOåCIELISKO-KIRY;49 16 39;19 52 10
100;HALA ORNAK;49 13 45;19 51 34
101;STRADOMKA;49 55 15;20 18 33
102;GNOJNIK;49 53 43;20 35 18
103;DOBCZYCE;49 52 39;20 04 14
104;JOD£OWNIK;49 46 15;20 13 29
105;JASTRZ BIA;49 47 11;20 53 47
106;W GL”WKA;49 45 01;20 04 28
107;LIMANOWA;49 41 37;20 25 06
108;P”£RZECZKI;49 39 09;20 12 54
109;RUDZICA;49 51 12;18 52 57
110;KOWARY;50 48 13;15 49 27
111;KARPACZ;50 46 44;15 46 10
112;PACZYN;50 44 23;15 54 41
113;PAPROTKI;50 43 36;15 56 53
114;BUK”WKA;50 42 46;15 57 26
115;BOR”W;50 52 56;16 59 24
116;PSZENNO;50 51 14;16 32 35
117;LUBOMIN;50 48 13;16 11 45
118;SZCZAWNO-ZDR”J;50 48 24;16 14 28
119;KAMIENNA G”RA;50 47 32;16 02 09
120;LUBACH”W;50 45 50;16 25 43
121;BOGUSZ”W-GORCE;50 44 58;16 11 24
122;DZIERØONI”W;50 44 36;16 37 27
123;WALIM;50 42 10;16 26 21
124;CHE£MSKO åL•SKIE;50 40 15;16 04 12
125;SREBRNA G”RA;50 34 38;16 39 53
126;KUDOWA-ZDR”J;50 26 17;16 13 19
127;S£OSZ”W;50 24 36;16 22 46
128;POLANICA-ZDR”J;50 25 31;16 31 06
129;O£DRZYCHOWICE K£ODZKIE;50 21 24;16 44 05
130;RYBIENKO;52 34 40;21 25 45
131;MIKO£AJKI;53 47 21;21 35 23
132;SUWA£KI;54 07 51;22 56 56
133;OPOLE;50 37 37;17 58 08
134;KRAK”W-BALICE;50 04 40;19 47 42
135;ZAKOPANE;49 17 38;19 57 37
136;GORZ”W WIELKOPOLSKI;52 44 28;15 16 38
137;KALISZ;51 46 52;18 04 51
138;KO£O-RADOSZEWICE;52 21 43;18 42 22
139;PI£A;53 07 50;16 44 50
140;POZNA—-£AWICA;52 25 00;16 50 05
141;S£UBICE;52 20 55;14 37 11
142;SZCZECINEK;53 43 04;16 44 48
143;WIELU—;51 12 37;18 33 24
144;CHOJNICE;53 42 55;17 31 57
145;KOSZALIN;54 12 16;16 09 19
146;JELENIA G”RA;50 54 01;15 47 20
147;LEGNICA;51 11 33;16 12 28
148;LESZNO;51 50 08;16 32 05
149;åNIEØKA;50 44 11;15 44 23
150;WROC£AW-STRACHOWICE;51 06 12;16 54 00
151;KRAK”W-WOLA JUSTOWSKA;50 03 50;19 53 25
152;S POLNO WIELKIE;53 56 51;16 46 25
153;OS”WKO;53 54 20;16 04 05
154;JASTROWIE;53 25 32;16 48 51
155;ZAP DOWO;53 42 15;17 50 25
156;SYPNIEWO;53 21 52;17 19 49
157;STAROGARD GDA—SKI;53 58 56;18 32 56
158;CZARNA WODA;53 50 26;18 05 34
159;åLIWICE;53 42 17;18 10 33
160;GRUDZI•DZ;53 26 15;18 42 34
161;BYDGOSZCZ;53 10 25;18 02 45
162;DOBROCIN;53 54 30;19 49 41
163;PRABUTY;53 44 22;19 12 54
164;LIDZBARK;53 15 16;19 49 27
165;SZCZYTNO;53 34 37;21 00 44
166;ROZOGI;53 29 29;21 22 46
167;MYSZYNIEC;53 23 04;21 21 01
168;ZARUZIE;53 08 51;21 48 09
169;D BOWO;53 36 38;22 55 50
170;RADZI£”W;53 24 50;22 24 19
171;BURZYN;53 16 43;22 27 15
172;TYKOCIN;53 12 16;22 46 14
173;ZAWADY;53 09 25;22 40 24
174;JAB£ONOWO-WYPYCHY;53 01 47;22 45 01
175;R”ØANYSTOK;53 38 07;23 24 05
176;JAN”W;53 27 35;23 13 46
177;JA£”WKA;53 21 14;23 20 26
178;FASTY;53 10 39;23 01 33
179;USTRO—-R”WNICA-WIEå;49 43 11;18 51 09
180;LUBO— WIELKI;49 39 12;19 59 32
181;£AZY;49 57 55;20 29 43
182;BOLK”W;50 55 30;16 05 55
183;KAMIENICA;50 13 38;16 53 03
184;£AZISKA;51 19 26;20 55 33
185;WIELGOLAS;52 02 14;21 43 26
186;KOWANIEC;49 29 27;20 02 49
187;NOWY ØMIGR”D;49 36 42;21 32 00
188;WIS£OCZEK;49 30 03;21 51 56
189;ØUBRACZE;49 12 32;22 16 18
190;NOWA PAS£ KA;54 25 34;19 44 49
191;ØABIN;54 19 17;22 02 17
192;GO£DAP;54 18 30;22 16 07
193;BANIE MAZURSKIE;54 15 06;22 01 23
194;KASPROWY WIERCH;49 13 57;19 58 55
195;NOWY S•CZ;49 37 38;20 41 19
196;KROSNO;49 42 24;21 46 09
197;LESKO;49 27 59;22 20 30
198;PRZEMYåL;49 48 15;22 46 19
199;CZ STOCHOWA;50 48 43;19 05 30
200;KATOWICE-MUCHOWIEC;50 14 26;19 01 58
201;KIELCE-SUK”W;50 48 38;20 41 32
202;TARN”W;50 01 48;20 59 02
203;SANDOMIERZ;50 41 48;21 42 57
204;RZESZ”W-JASIONKA;50 06 39;22 02 32
205;ZAMOå∆;50 41 54;23 12 20
206;SULEJ”W;51 21 12;19 51 59
207;KOZIENICE;51 33 53;21 32 37
208;W£ODAWA;51 33 12;23 31 46
209;P£OCK;52 35 18;19 43 33
